
Student ID,Student Name,Gender,Ethnicity,ELL Status,IEP Status,Place Value and Decimal Fractions - Lesson 1,Place Value and Decimal Fractions - Lesson 2,Place Value and Decimal Fractions - Lesson 3,Multi-Digit Whole Number and Decimal Fraction Operations - Lesson 1,Multi-Digit Whole Number and Decimal Fraction Operations - Lesson 2
S00001,Alma Greene,Non-binary,Hispanic/Latino,ELL,General Ed,77,77,74,73,73
S00002,Brianna Stone,Non-binary,Native American,ELL,General Ed,71,70,72,56,77
S00003,Carlos Ramirez,Non-binary,Multiracial,ELL,IEP,92,90,92,67,83
S00004,Dylan Ford,Female,Asian,Non-ELL,IEP,94,95,75,72,83
S00005,Elena Johnson,Male,African American,ELL,IEP,100,94,80,53,72
S00006,Fiona Clarke,Male,Hispanic/Latino,Non-ELL,General Ed,89,78,95,51,93
S00007,Gabriel Smith,Male,Multiracial,ELL,General Ed,72,87,79,70,89
S00008,Hannah Lee,Male,Multiracial,ELL,IEP,71,91,77,74,79
S00009,Isaac Patel,Female,White,ELL,General Ed,78,84,90,61,75
S00010,Julia Kim,Male,African American,ELL,General Ed,92,99,91,70,72
S00011,Kevin Davis,Non-binary,Native American,ELL,IEP,75,84,82,58,99
S00012,Lila Brooks,Non-binary,Native American,ELL,General Ed,96,94,94,51,77
S00013,Marco Rossi,Female,African American,Non-ELL,General Ed,72,76,99,68,98
S00014,Natasha Brown,Non-binary,African American,ELL,General Ed,67,83,84,55,69
S00015,Oscar Chen,Female,African American,ELL,IEP,93,87,87,58,93
